Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Other Non Operating Income Expenses,Total Other Finance Cost,Research And Development,General And Administrative Expense,Total Unusual Items,Total Unusual Items Excluding Goodwill,Average Dilution Earnings,Other Income Expense,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Depreciation And Amortization In Income Statement,Amortization,Net Policyholder Benefits And Claims,Depreciation Income Statement,Impairment Of Capital Assets,Gain On Sale Of Security,Other Gand A,Salaries And Wages,Other Non Interest Expense,Write Off,Gain On Sale Of Ppe,Gain On Sale Of Business,Earnings From Equity Interest,Preferred Stock Dividends
2025-09-30,0.0,0.259,1024000000.0,458000000.0,276000000.0,3195000000.0,1024000000.0,748000000.0,-86000000.0,98000000.0,12000000.0,458000000.0,461000000.0,5894000000.0,736000000.0,,,,,461000000.0,461000000.0,0.0,461000000.0,-23000000.0,485000000.0,3000000.0,482000000.0,169000000.0,650000000.0,-86000000.0,98000000.0,12000000.0,736000000.0,2699000000.0,1943000000.0,798000000.0,798000000.0,3435000000.0,3195000000.0,6630000000.0,6630000000.0,ADS.DE,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,0.0,0.233,833000000.0,363000000.0,278000000.0,2875000000.0,833000000.0,555000000.0,-58000000.0,67000000.0,9000000.0,363000000.0,369000000.0,5405000000.0,546000000.0,178260870.0,178260870.0,2.07,2.07,369000000.0,369000000.0,0.0,369000000.0,-11000000.0,381000000.0,6000000.0,375000000.0,114000000.0,488000000.0,-58000000.0,67000000.0,9000000.0,547000000.0,2530000000.0,1837000000.0,712000000.0,712000000.0,3077000000.0,2875000000.0,5952000000.0,5952000000.0,ADS.DE,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,0.0,0.254,926000000.0,435000000.0,282000000.0,2948000000.0,926000000.0,644000000.0,-25000000.0,59000000.0,34000000.0,435000000.0,428000000.0,5544000000.0,610000000.0,178333333.0,178333333.0,2.4,2.4,428000000.0,428000000.0,0.0,428000000.0,-1000000.0,429000000.0,-7000000.0,436000000.0,149000000.0,585000000.0,-25000000.0,59000000.0,34000000.0,609000000.0,2596000000.0,1870000000.0,746000000.0,746000000.0,3205000000.0,2948000000.0,6153000000.0,6153000000.0,ADS.DE,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,0.0,0.068966,292000000.0,-46000000.0,301000000.0,2996000000.0,292000000.0,-9000000.0,8000000.0,20000000.0,-14000000.0,-46000000.0,-39000000.0,5954000000.0,57000000.0,,,,,-39000000.0,-39000000.0,0.0,-39000000.0,-20000000.0,-19000000.0,7000000.0,-27000000.0,-2000000.0,-29000000.0,8000000.0,20000000.0,-14000000.0,11000000.0,2958000000.0,-5946000000.0,8828000000.0,6690000000.0,2969000000.0,2996000000.0,5965000000.0,5965000000.0,ADS.DE,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,0.0,0.221,936000000.0,436000000.0,310000000.0,3137000000.0,936000000.0,626000000.0,4000000.0,25000000.0,29000000.0,436000000.0,443000000.0,5842000000.0,598000000.0,178629032.0,178629032.0,2.48,2.48,443000000.0,443000000.0,0.0,443000000.0,-33000000.0,476000000.0,7000000.0,469000000.0,133000000.0,601000000.0,4000000.0,25000000.0,29000000.0,596000000.0,2705000000.0,2114000000.0,724000000.0,724000000.0,3301000000.0,3137000000.0,6438000000.0,6438000000.0,ADS.DE,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,179245283.0,179245283.0,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,ADS.DE,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,178947368.0,178947368.0,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,ADS.DE,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,0.0,0.335172,2466000000.0,1116000000.0,653000000.0,14899000000.0,2466000000.0,1813000000.0,-116000000.0,181000000.0,157000000.0,1116000000.0,1116000000.0,16187000000.0,,,,,,1116000000.0,1116000000.0,0.0,1116000000.0,31000000.0,1085000000.0,,1085000000.0,547000000.0,1632000000.0,-116000000.0,181000000.0,157000000.0,1639000000.0,1288000000.0,,549000000.0,191000000.0,2927000000.0,14899000000.0,17826000000.0,17826000000.0,AIR.DE,25000000.0,92000000.0,739000000.0,358000000.0,,,,,,,,,,,,,,,,,,,,,
2025-06-30,0.0,0.30997,1843000000.0,732000000.0,636000000.0,13696000000.0,1843000000.0,1207000000.0,-131000000.0,194000000.0,171000000.0,732000000.0,732000000.0,15067000000.0,,787096774.0,787096774.0,0.93,0.93,732000000.0,732000000.0,0.0,732000000.0,33000000.0,699000000.0,,699000000.0,314000000.0,1013000000.0,-131000000.0,194000000.0,171000000.0,1001000000.0,1371000000.0,,638000000.0,209000000.0,2372000000.0,13696000000.0,16068000000.0,16068000000.0,AIR.DE,26000000.0,108000000.0,733000000.0,429000000.0,,,,,,,,,,,,,,,,,,,,,
2025-03-31,0.0,0.319,1909000000.0,793000000.0,626000000.0,11664000000.0,1909000000.0,1283000000.0,621000000.0,189000000.0,209000000.0,793000000.0,793000000.0,13002000000.0,,788579719.0,787433498.0,1.01,1.01,793000000.0,793000000.0,0.0,793000000.0,48000000.0,745000000.0,,745000000.0,349000000.0,1094000000.0,621000000.0,189000000.0,209000000.0,540000000.0,1338000000.0,,665000000.0,219000000.0,1878000000.0,11664000000.0,13542000000.0,13542000000.0,AIR.DE,-88000000.0,-601000000.0,673000000.0,446000000.0,,,,,,,,,,,,,,,,,,,,,
